Pokemons:
#####################
Number: 1; Pokemon: bulbasaur; Give: 1SpA; Photo: https://pokemongolife.ru/p/Bulbasaur.png;
Number: 779; Pokemon: jangmo-o; Give: 1Def; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P782sn.png;
Number: 780; Pokemon: hakamo-o; Give: 2Def; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P783sn.png;
Number: 781; Pokemon: kommo-o; Give: 3Def; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P784sn.png;
Number: 782; Pokemon: tapu koko; Give: 3Spe; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P785sn.png;
Number: 783; Pokemon: tapu lele; Give: 3SpA; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P786sn.png;
Number: 784; Pokemon: tapu bulu; Give: 3Atk; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P787sn.png;
Number: 785; Pokemon: tapu fini; Give: 3SpD; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P788sn.png;
Number: 786; Pokemon: cosmog; Give: 1HP; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P789sn.png;
Number: 787; Pokemon: cosmoem; Give: 1Def, 1SpD; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P790sn.png;
Number: 788; Pokemon: solgaleo; Give: 3Atk; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P791sn.png;
Number: 789; Pokemon: lunala; Give: 3SpA; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P792sn.png;
Number: 790; Pokemon: nihilego; Give: 3SpD; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P793sn.png;
Number: 791; Pokemon: buzzwole; Give: 1Atk, 2Def; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P794sn.png;
Number: 792; Pokemon: pheromosa; Give: 3Spe; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P795sn.png;
Number: 793; Pokemon: xurkitree; Give: 3SpA; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P796.png;
Number: 794; Pokemon: celesteela; Give: 1Atk, 1Def, 1SpA; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P797sn.png;
Number: 795; Pokemon: kartana; Give: 3Atk; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P798sn.png;
Number: 796; Pokemon: guzzlord; Give: 3HP; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P799sn.png;
Number: 797; Pokemon: necrozma; Give: 1Atk, 2SpA; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P800sn.png;
Number: 798; Pokemon: magearna; Give: 3SpA; Photo: http://pokeliga.com/pictures/sprites/SM_fansprites/P801sn.png;
Number: 799; Pokemon: marshadow; Give: 2Atk, 1Spe; Photo: https://i.imgur.com/1sA436j.png;
Number: 800; Pokemon: poipole; Give: 1Spe; Photo: https://i.imgur.com/zMnARjN.png;
Number: 801; Pokemon: naganadel; Give: 3SpA; Photo: https://i.imgur.com/fr0BFsP.png;
Number: 802; Pokemon: stakataka; Give: 3Def; Photo: https://i.imgur.com/HGp8yuU.png;
Number: 803; Pokemon: blacephalon; Give: 3SpA; Photo: https://i.imgur.com/Bpy4tm3.png;
Number: 804; Pokemon: zeraora; Give: 3Spe; Photo: https://i.imgur.com/tcJnNBQ.png;

EVs:
#####################
Stat: hp; Pokemons: Nidoran(Female), Slowpoke, Grimer, Vaporeon, Marill, Phanpy;
Stat: atk; Pokemons: Ekans, Nidoran(Male), Machop, Krabby, Kingler, Goldeen, Seaking, Larvitar, Poochyena, Trapinch, Corphish, Crawdaunt, Shinx, Sandile, Pawniard, Bisharp;
Stat: def; Pokemons: Sandshrew, Geodude, Shellder, Onix, Cubone, Marowak, Magcargo, Pelipper, Bronzor, Skorupi, Sewaddle, Swadloon, Venipede, Klink, Klang;
Stat: spa; Pokemons: Oddish, Psyduck, Golduck, Abra, Gastly, Slugma, Glaceon;
Stat: spd; Pokemons: Tentacool, Tentacruel, Seel, Mantine, Duskull, Dewpider;
Stat: spe; Pokemons: Rattata, Raticate, Pikachu, Zubat, Golbat, Diglett, Meowth, Poliwag, Poliwhirl, Ponyta, Staryu, Magikarp, Electrike, Pachirisu, Blitzle, Woobat, Swoobat, Froakie, Frogadier, Helioptile, Salandit, Salazzle;
